Date,ret,equity,spy_equity
2023-06-29,-0.0030921078097609126,2.0906670273451975,4.254253329694782
2023-06-30,0.013618079785855625,2.119137897729242,4.304455747513026
2023-07-03,0.0008414310147435929,2.1209210060809096,4.309408876691401
2023-07-05,-0.0018425162771011864,2.1170131746047596,4.3030003227854685
2023-07-06,-0.008652499615745539,2.0986957189249638,4.2693043806033115
2023-07-07,-0.003452102140552561,2.0914508069412943,4.258525901783787
2023-07-10,0.0010099798361522905,2.0935631300846094,4.2693043806033115
2023-07-11,0.005290774021665951,2.1046396995059786,4.29649350337222
2023-07-12,0.011241616065593592,2.128299250964231,4.3310628829274584
2023-07-13,0.013588597392710358,2.157219852616791,4.365438165288679
2023-07-14,-0.0011930830811300727,2.154646110108356,4.362719283434545
2023-07-17,0.006493013664684596,2.1686362567438486,4.377867382940085
2023-07-18,0.0074498678497031704,2.1847923102706654,4.41039752504783
2023-07-19,0.0020889402910815413,2.189356210955235,4.42020490944211
2023-07-20,-0.017480086908472827,2.151086074114133,4.390879196401121
2023-07-21,-0.0017832451239326915,2.1472501603613092,4.390879196401121
2023-07-24,0.0014475139044413626,2.1503583348247464,4.410494877872415
2023-07-25,0.004473631098603243,2.159978244744559,4.422535596908208
2023-07-26,-0.0017729172657634659,2.156148782020778,4.423215241314847
2023-07-27,-0.006126457056476332,2.142939229100354,4.3938898325014355
2023-07-28,0.014016802971047387,2.172976386053582,4.4369070034100995
2023-07-31,0.001118534713375699,2.1754069355727284,4.44535540321868
2023-08-01,-0.004347701445272304,2.1659489156948832,4.432634431321094
2023-08-02,-0.018234767139970222,2.1264533415801163,4.370973281821532
2023-08-03,-0.004352246176590321,2.1171984931545267,4.3584467113455405
2023-08-04,-0.0018419047459755622,2.113298815201813,4.338734589732392
2023-08-07,0.006051649022607885,2.1260877579113076,4.376604838496239
2023-08-08,-0.00512584777759024,2.115189755702456,4.3575726655173055
2023-08-09,-0.007901768658347444,2.0984760155843887,4.328441049670336
2023-08-10,-0.0007250522571636776,2.0969545108126852,4.329994739905208
2023-08-11,-0.004246843449932638,2.0880490732836336,4.327469955245093
2023-08-14,0.007732259666271399,2.10419441091418,4.3513579045778155
2023-08-15,-0.010144612128919556,2.082848174771615,4.300669331091796
2023-08-16,-0.009335779770428224,2.063403162916709,4.269110587636872
2023-08-17,-0.00905899836362811,2.0447107970403415,4.236580141301552
2023-08-18,-0.00022535478991274197,2.0442500116682423,4.2386187702938924
2023-08-21,0.009794024966935523,2.0642714473211794,4.266197304361144
2023-08-22,-0.000617943186246084,2.062995844845745,4.254642132537973
2023-08-23,0.015308672990875892,2.0945775736160237,4.302028619905075
2023-08-24,-0.017248160762730846,2.058449962896284,4.242406707853008
2023-08-25,0.00673376116368409,2.072311073313822,4.272314408248474
2023-08-28,0.006311866169661276,2.085391223470486,4.299406786647951
2023-08-29,0.01808988251929131,2.123115705709828,4.3615537875877095
2023-08-30,0.00434094151322506,2.1323320268141237,4.379518121771968
2023-08-31,0.0012773606309500034,2.1350557837972897,4.373109567866035
2023-09-01,-0.0072886515836129585,2.119494106077614,4.381265909200859
2023-09-05,-0.009741390280316104,2.098847286793482,4.362330784818935
2023-09-06,-0.0018027451206756235,2.0950636000881717,4.33300476755037
2023-09-07,0.00033760741971445695,2.0957709091043353,4.319701808298307
2023-09-08,0.0025780108986797534,2.101173829349142,4.326207715028825
2023-09-11,-0.0009900654690692188,2.0990935296961917,4.35465938224158
2023-09-12,0.0003060058934113651,2.0997358646871005,4.330770824453704
2023-09-13,0.00011230217544763065,2.0999716695925703,4.335821306456665
2023-09-14,-0.00034424250546742077,2.0992487700836193,4.373206616463045
2023-09-15,-0.007176003222660574,2.084184554144333,4.320516833976635
2023-09-18,0.0037293404725468253,2.091957187954361,4.323050441236479
2023-09-19,-0.004700740610808803,2.0821234398448705,4.314085158774864
2023-09-20,-0.001902034054471782,2.078163170156672,4.274424226493793
2023-09-21,-0.020528118776812508,2.0355023897620983,4.203774977464355
2023-09-22,0.0035614266854377555,2.0427516822912692,4.194322626652235
2023-09-25,-0.011679624281999782,2.0188931101406844,4.211960524646553
2023-09-26,-0.00831605422315921,2.002103885565992,4.150081243974405
2023-09-27,-0.0037474628450916408,1.9946010756428199,4.151738067357824
2023-09-28,0.0033050539990638833,2.00119333990441,4.175807640553914
2023-09-29,-0.001910646675336035,1.9973697665028172,4.165673211514539
2023-10-02,-0.00987024388551695,1.9776552397778764,4.16401638813112
2023-10-03,-0.016668576264184505,1.9446905425893748,4.108276419959409
2023-10-04,0.009988825029457825,1.9641157161557412,4.138192942954602
2023-10-05,-0.002893699332999006,1.9584321558179685,4.136633776623347
2023-10-06,-0.001176798941898539,1.9561274749292217,4.185747363944115
2023-10-09,0.01619192443394186,1.9878009431864332,4.21254525004922
2023-10-10,0.0011325174855736364,1.9900521625124317,4.234470931511387
2023-10-11,0.0129179291052907,2.0157595152635976,4.251816466804372
2023-10-12,-0.01678942824962172,1.9819160655135872,4.225895668803268
2023-10-13,0.01031858388419333,2.0023666326870195,4.20484646698995
2023-10-16,-0.004761843984761106,1.9928316751818724,4.249087849667779
2023-10-17,-0.0055221143716181,1.981827030748135,4.24889283979103
2023-10-18,-0.008300382141894574,1.9653771090537893,4.192275783515318
2023-10-19,-0.01282182295100926,1.940177391729535,4.1554411254230015
2023-10-20,-0.0016091228608004229,1.937055407934495,4.104378656245059
2023-10-23,0.005122004331164843,1.9469770141236418,4.0972649028160335
2023-10-24,0.009616937367334943,1.9657009701241097,4.128155866739815
2023-10-25,-0.016735609540242943,1.932803766215236,4.068907850379673
2023-10-26,0.00330666712853631,1.9391949048948909,4.0201842828124015
